,postcode,house_price,area,size,purchase_price,lat,lon
52,1012 LR Netherlands,399000.0,53.0,48.326530612244895,1688596.7671232878,52.376812,4.8971442
53,1012 NB Netherlands,475000.0,47.0,28.81081081081081,269016.2926829268,52.3770132,4.8958203
54,1012 NC Netherlands,375000.0,68.0,50.63636363636363,312203.2105263158,52.3764455,4.895474099999999
55,1012 NE Netherlands,860000.0,96.0,169.7872340425532,222195.7950310559,52.3758024,4.894277
56,1012 NH Netherlands,539333.3333333334,95.66666666666667,69.8,4024923.6455026455,52.3753438,4.8942087
57,1012 PV Netherlands,592000.0,88.5,214.48235294117646,6247302.0,52.3761545,4.8946402
58,1012 RK Netherlands,1397500.0,206.5,112.25,1636712.3529411764,52.3720936,4.890705899999999
59,1012 SJ Netherlands,815000.0,185.0,532.8666666666667,2767780.8735632184,52.3744059,4.8912968
60,1012 SN Netherlands,434666.6666666667,60.0,79.28888888888889,1416725.9882352941,52.3777669,4.895503499999999
61,1012 SR Netherlands,425000.0,66.0,119.58333333333333,549678.2535211268,52.3762908,4.8928471
62,1012 SZ Netherlands,275000.0,36.0,282.0,529048.6,52.3733862,4.8940639
63,1012 TV Netherlands,285000.0,36.0,108.33333333333333,495189.0,52.3761454,4.8924669
64,1012 VG Netherlands,325000.0,66.0,87.03076923076924,629257.2427184467,52.3758799,4.891295
65,1012 VK Netherlands,495000.0,66.0,119.0,727016.7058823529,52.3745256,4.8898416
66,1012 VN Netherlands,461840.0,58.0,219.92307692307693,16921531.873015873,52.37172,4.889506
67,1012 WP Netherlands,495000.0,70.0,89.66666666666667,4415920.283687944,52.3672935,4.8905541
68,1012 ZK Netherlands,419000.0,56.0,254.0,336257.0,52.37483700000001,4.895536000000001
69,1013 AK Netherlands,647829.1851851852,121.33333333333333,550.0,1061111.0,52.3978834,4.8831735
70,1013 AM Netherlands,28500.0,10.0,2031.7878787878788,807122.2424242424,52.3962442,4.8760811
71,1013 AS Netherlands,639000.0,86.0,,354491.8961038961,52.3846232,4.8930479
72,1013 AW Netherlands,34000.0,12.0,,313932.4700693132,52.3904305,4.891191
73,1013 BD Netherlands,521250.0,91.0,1308.6666666666667,191610.27634660422,52.3946105,4.8744691
74,1013 BH Netherlands,724500.0,109.5,,24615066.867279895,52.3843833,4.8915524
75,1013 BX Netherlands,1500000.0,190.0,,2963444.1415384617,52.386294,4.8928237
76,1013 CL Netherlands,225000.0,46.0,,206232.41463414635,52.3898096,4.8804006
77,1013 CS Netherlands,275000.0,56.0,,200149.09433962265,52.3888155,4.881234699999999
